IP:PORT, LOSS, DELAY
[2606:4700:d0::c738:e898:96eb:aeaa]:8742,0.00%,185 ms#本地优选IP
[2606:4700:d1::449e:e04a:5fea:b9b3]:8742,0.00%,186 ms#本地优选IP
[2606:4700:d1::a78a:47b7:cda9:c0ff]:8742,0.00%,186 ms#本地优选IP
[2606:4700:d0::bee3:7404:a766:0138]:928,0.00%,186 ms#本地优选IP
[2606:4700:d1::4606:61af:566a:21c1]:928,0.00%,186 ms#本地优选IP
[2606:4700:d0::458f:cd02:6f83:dbd4]:928,0.00%,186 ms#本地优选IP
[2606:4700:d0::4a6a:764c:da5b:4d81]:8742,0.00%,186 ms#本地优选IP
[2606:4700:d0::794d:8574:1f17:3cbc]:8742,0.00%,186 ms#本地优选IP
[2606:4700:d0::d9d8:4788:c434:85d9]:928,0.00%,186 ms
[2606:4700:d0::a00d:d46f:6b37:429b]:928,0.00%,186 ms
[2606:4700:d1::e920:85dc:e8be:d6d8]:928,0.00%,186 ms
[2606:4700:d1::9ac9:9064:efaf:e89f]:928,0.00%,186 ms
[2606:4700:d1::6827:d04b:f6e1:3722]:928,0.00%,186 ms
[2606:4700:d0::cc40:1e7d:c966:1f79]:928,0.00%,186 ms
[2606:4700:d1::dfd5:7427:9281:a435]:928,0.00%,186 ms
[2606:4700:d1::5341:8893:15f4:8253]:928,0.00%,186 ms
[2606:4700:d0::e3a2:1e62:4e38:9566]:8742,0.00%,186 ms
[2606:4700:d1::acbf:ecdd:5897:abd2]:928,0.00%,186 ms
[2606:4700:d1::5733:81df:848f:f499]:8742,0.00%,186 ms
[2606:4700:d1::97b7:dabd:6558:9c44]:928,0.00%,186 ms
[2606:4700:d0::8e7c:0211:3a09:e40f]:928,0.00%,186 ms
[2606:4700:d0::8d04:63d8:deb6:d1c5]:8742,0.00%,186 ms
[2606:4700:d0::eaee:af33:f144:e212]:8742,0.00%,186 ms
[2606:4700:d0::d9d8:4788:c434:85d9]:8742,0.00%,186 ms
[2606:4700:d0::d30c:e404:3490:7ce9]:8742,0.00%,186 ms
[2606:4700:d0::1676:52da:5b6f:99fc]:928,0.00%,187 ms
[2606:4700:d0::bfcb:acbf:039d:d7c5]:8742,0.00%,187 ms
[2606:4700:d0::02d3:c44d:5088:2429]:928,0.00%,187 ms
[2606:4700:d1::c894:74ee:2aa3:a225]:8742,0.00%,187 ms
[2606:4700:d1::a678:7961:707f:1d25]:928,0.00%,187 ms
[2606:4700:d1::c97f:d4cd:e0c3:d264]:8742,0.00%,187 ms
[2606:4700:d0::f3e8:8541:ef02:f8ae]:928,0.00%,187 ms
[2606:4700:d0::ec17:8c5b:77e2:e394]:8742,0.00%,187 ms
[2606:4700:d1::b197:15ff:791d:f8f0]:8742,0.00%,187 ms
[2606:4700:d0::d825:3668:1edc:db01]:928,0.00%,187 ms
[2606:4700:d1::9c50:6f75:85ff:18d3]:8742,0.00%,187 ms
[2606:4700:d1::97b7:dabd:6558:9c44]:8742,0.00%,187 ms
[2606:4700:d0::8004:02a8:f1be:09b2]:928,0.00%,187 ms
[2606:4700:d1::5733:81df:848f:f499]:928,0.00%,187 ms
[2606:4700:d0::2e80:40fc:b902:c2fa]:8742,0.00%,187 ms
[2606:4700:d0::8e7c:0211:3a09:e40f]:8742,0.00%,187 ms
[2606:4700:d0::ec17:8c5b:77e2:e394]:928,0.00%,187 ms
[2606:4700:d0::0c3d:1e98:6675:dbd0]:8742,0.00%,187 ms
[2606:4700:d0::0e74:0d7c:3736:5518]:928,0.00%,187 ms
[2606:4700:d0::4db5:8758:bfef:c41b]:928,0.00%,187 ms
[2606:4700:d0::ba8a:2d6f:6bfe:1432]:8742,0.00%,187 ms
[2606:4700:d1::5341:8893:15f4:8253]:8742,0.00%,187 ms
[2606:4700:d1::4606:61af:566a:21c1]:8742,0.00%,187 ms
[2606:4700:d1::9ac9:9064:efaf:e89f]:8742,0.00%,187 ms
[2606:4700:d0::17a1:7ed6:efc9:4caf]:928,0.00%,187 ms
[2606:4700:d0::5ab9:b322:a965:9aea]:8742,0.00%,187 ms
[2606:4700:d1::69cc:0ce2:a982:5ab5]:8742,0.00%,187 ms
[2606:4700:d0::d1c2:e5f2:3525:dde9]:928,0.00%,187 ms
[2606:4700:d0::e3a2:1e62:4e38:9566]:928,0.00%,187 ms
[2606:4700:d0::f3e8:8541:ef02:f8ae]:8742,0.00%,187 ms
[2606:4700:d1::f765:e3a6:bca0:9d76]:8742,0.00%,187 ms
[2606:4700:d1::4006:1f87:8757:2079]:8742,0.00%,187 ms
[2606:4700:d1::e920:85dc:e8be:d6d8]:8742,0.00%,187 ms
[2606:4700:d0::6f83:b9cc:6a3a:c424]:8742,0.00%,187 ms
[2606:4700:d1::3b06:eb92:e73a:2efb]:8742,0.00%,187 ms
[2606:4700:d1::449e:e04a:5fea:b9b3]:928,0.00%,187 ms
[2606:4700:d1::b3c3:df82:9677:e98a]:928,0.00%,187 ms
[2606:4700:d0::88f4:aef0:e426:3175]:928,0.00%,187 ms
[2606:4700:d1::c97f:d4cd:e0c3:d264]:928,0.00%,187 ms
[2606:4700:d0::d263:21df:bfdf:6e18]:928,0.00%,187 ms
[2606:4700:d1::c894:74ee:2aa3:a225]:928,0.00%,187 ms
[2606:4700:d0::d825:3668:1edc:db01]:8742,0.00%,187 ms
[2606:4700:d1::325c:5db1:8714:99cc]:8742,0.00%,187 ms
[2606:4700:d0::5ab9:b322:a965:9aea]:928,0.00%,187 ms
[2606:4700:d0::d30c:e404:3490:7ce9]:928,0.00%,187 ms
[2606:4700:d1::b197:15ff:791d:f8f0]:928,0.00%,187 ms
[2606:4700:d0::88f4:aef0:e426:3175]:8742,0.00%,187 ms
[2606:4700:d1::4006:1f87:8757:2079]:928,0.00%,187 ms
[2606:4700:d1::acbf:ecdd:5897:abd2]:8742,0.00%,187 ms
[2606:4700:d0::d1c2:e5f2:3525:dde9]:8742,0.00%,187 ms
[2606:4700:d0::b038:ed81:8f39:2b78]:8742,0.00%,187 ms
[2606:4700:d0::4db5:8758:bfef:c41b]:8742,0.00%,187 ms
[2606:4700:d0::b510:dabe:37ef:d571]:928,0.00%,187 ms
[2606:4700:d1::4aad:d6d4:a955:cdb5]:928,0.00%,187 ms
[2606:4700:d0::d263:21df:bfdf:6e18]:8742,0.00%,187 ms
[2606:4700:d0::9ff8:edca:0e71:0e94]:928,0.00%,187 ms
[2606:4700:d0::9fb3:2d83:0b4e:1201]:928,0.00%,187 ms
[2606:4700:d0::6315:16eb:70de:fd62]:8742,0.00%,187 ms
[2606:4700:d0::ce40:67ad:eebb:35e4]:8742,0.00%,187 ms
[2606:4700:d0::d6eb:b4a5:e4d4:ad1a]:928,0.00%,187 ms
[2606:4700:d1::1b84:789a:f7a0:2cb5]:928,0.00%,187 ms
[2606:4700:d1::a78a:47b7:cda9:c0ff]:928,0.00%,187 ms
[2606:4700:d0::433d:eb79:05d2:78a4]:928,0.00%,187 ms
[2606:4700:d0::bfcb:acbf:039d:d7c5]:928,0.00%,187 ms
[2606:4700:d1::b3c3:df82:9677:e98a]:8742,0.00%,187 ms
[2606:4700:d0::19ab:9cb7:844c:905a]:928,0.00%,187 ms
[2606:4700:d0::01e3:1490:9028:3933]:8742,0.00%,187 ms
[2606:4700:d0::7c43:e959:f8bc:0b4b]:928,0.00%,187 ms
[2606:4700:d0::09e3:772f:c8a7:29e6]:928,0.00%,187 ms
[2606:4700:d0::6f83:b9cc:6a3a:c424]:928,0.00%,187 ms
[2606:4700:d0::433d:eb79:05d2:78a4]:8742,0.00%,187 ms
[2606:4700:d0::0c3d:1e98:6675:dbd0]:928,0.00%,187 ms
[2606:4700:d0::2e80:40fc:b902:c2fa]:928,0.00%,187 ms
[2606:4700:d0::4a6a:764c:da5b:4d81]:928,0.00%,187 ms
[2606:4700:d1::048e:ac05:5ac2:cdfd]:8742,0.00%,187 ms
[2606:4700:d1::a8f6:833f:7939:568e]:928,0.00%,187 ms
[2606:4700:d0::f0b4:d3dc:9647:85c0]:928,0.00%,187 ms
[2606:4700:d0::bee3:7404:a766:0138]:8742,0.00%,187 ms
[2606:4700:d0::6315:16eb:70de:fd62]:928,0.00%,187 ms
[2606:4700:d0::b510:dabe:37ef:d571]:8742,0.00%,187 ms
[2606:4700:d1::1b84:789a:f7a0:2cb5]:8742,0.00%,187 ms
[2606:4700:d1::1a81:a3de:13b7:843c]:8742,0.00%,187 ms
[2606:4700:d0::fb29:db19:5682:2b3f]:928,0.00%,187 ms
[2606:4700:d0::794d:8574:1f17:3cbc]:928,0.00%,187 ms
[2606:4700:d0::adec:22cd:05ea:e8a1]:8742,0.00%,187 ms
[2606:4700:d0::741f:5ff4:78a5:3905]:928,0.00%,187 ms
[2606:4700:d0::741f:5ff4:78a5:3905]:8742,0.00%,187 ms
[2606:4700:d1::e3a2:08b2:cf0b:1c50]:8742,0.00%,188 ms
[2606:4700:d1::15e9:5705:992c:da14]:8742,0.00%,188 ms
[2606:4700:d1::729b:4e47:ebe6:a8d7]:928,0.00%,188 ms
[2606:4700:d0::ba8a:2d6f:6bfe:1432]:928,0.00%,188 ms
[2606:4700:d0::ce40:67ad:eebb:35e4]:928,0.00%,188 ms
[2606:4700:d0::7940:2815:0af9:e2b3]:8742,0.00%,188 ms
[2606:4700:d1::fdf5:064d:7595:d2a7]:928,0.00%,188 ms
[2606:4700:d0::d6eb:b4a5:e4d4:ad1a]:8742,0.00%,188 ms
[2606:4700:d0::c738:e898:96eb:aeaa]:928,0.00%,188 ms
[2606:4700:d0::19ab:9cb7:844c:905a]:8742,0.00%,188 ms
[2606:4700:d1::a8f6:833f:7939:568e]:8742,0.00%,188 ms
[2606:4700:d0::8d04:63d8:deb6:d1c5]:928,0.00%,188 ms
[2606:4700:d0::458f:cd02:6f83:dbd4]:8742,0.00%,188 ms
[2606:4700:d1::4aad:d6d4:a955:cdb5]:8742,0.00%,188 ms
[2606:4700:d1::f790:8c93:41f4:7aed]:928,0.00%,188 ms
[2606:4700:d0::09e3:772f:c8a7:29e6]:8742,0.00%,188 ms
[2606:4700:d0::a00d:d46f:6b37:429b]:8742,0.00%,188 ms
[2606:4700:d0::17a1:7ed6:efc9:4caf]:8742,0.00%,188 ms
[2606:4700:d0::0e74:0d7c:3736:5518]:8742,0.00%,188 ms
[2606:4700:d1::3f28:772c:c3d1:b9ca]:8742,0.00%,188 ms
[2606:4700:d1::3804:36a6:a706:4a66]:928,0.00%,188 ms
[2606:4700:d1::19e6:815f:18df:d7de]:8742,0.00%,188 ms
[2606:4700:d1::119a:88ed:5fdd:3518]:8742,0.00%,188 ms
[2606:4700:d1::3b06:eb92:e73a:2efb]:928,0.00%,188 ms
[2606:4700:d0::adec:22cd:05ea:e8a1]:928,0.00%,188 ms
[2606:4700:d1::fe0b:27f0:2858:02ab]:928,0.00%,188 ms
[2606:4700:d1::6827:d04b:f6e1:3722]:8742,0.00%,188 ms
[2606:4700:d1::1a81:a3de:13b7:843c]:928,0.00%,188 ms
[2606:4700:d1::06e9:26df:4856:6b4e]:8742,0.00%,188 ms
[2606:4700:d1::1d7c:21eb:74fc:8c36]:928,0.00%,188 ms
[2606:4700:d1::9c50:6f75:85ff:18d3]:928,0.00%,188 ms
[2606:4700:d0::b038:ed81:8f39:2b78]:928,0.00%,188 ms
[2606:4700:d0::8004:02a8:f1be:09b2]:8742,0.00%,188 ms
[2606:4700:d0::f0b4:d3dc:9647:85c0]:8742,0.00%,188 ms
[2606:4700:d0::eaee:af33:f144:e212]:928,0.00%,188 ms
[2606:4700:d1::3804:36a6:a706:4a66]:8742,0.00%,188 ms
[2606:4700:d1::048e:ac05:5ac2:cdfd]:928,0.00%,188 ms
[2606:4700:d0::9fb3:2d83:0b4e:1201]:8742,0.00%,188 ms
[2606:4700:d0::47cd:cc33:34f6:c92c]:8742,0.00%,188 ms
[2606:4700:d1::e3a2:08b2:cf0b:1c50]:928,0.00%,188 ms
[2606:4700:d1::2120:2d83:014c:0084]:928,0.00%,188 ms
[2606:4700:d0::cc40:1e7d:c966:1f79]:8742,0.00%,188 ms
[2606:4700:d1::a4a9:57d8:deab:7905]:8742,0.00%,188 ms
[2606:4700:d0::7940:2815:0af9:e2b3]:928,0.00%,188 ms
[2606:4700:d1::dfd5:7427:9281:a435]:8742,0.00%,188 ms
[2606:4700:d1::1c94:fd83:bc25:b6d2]:928,0.00%,188 ms
[2606:4700:d0::47cd:cc33:34f6:c92c]:928,0.00%,188 ms
[2606:4700:d1::f175:f55b:b338:81f9]:8742,0.00%,188 ms
[2606:4700:d0::ec69:cada:0910:b4be]:928,0.00%,188 ms
[2606:4700:d1::f1a0:0854:3425:bb8b]:8742,0.00%,188 ms
[2606:4700:d0::02d3:c44d:5088:2429]:8742,0.00%,188 ms
[2606:4700:d1::f790:8c93:41f4:7aed]:8742,0.00%,188 ms
[2606:4700:d0::ec69:cada:0910:b4be]:8742,0.00%,188 ms
[2606:4700:d1::69cc:0ce2:a982:5ab5]:928,0.00%,188 ms
[2606:4700:d1::1dca:25d2:ade9:0737]:8742,0.00%,188 ms
[2606:4700:d1::a678:7961:707f:1d25]:8742,0.00%,188 ms
[2606:4700:d0::1676:52da:5b6f:99fc]:8742,0.00%,188 ms
[2606:4700:d0::9ff8:edca:0e71:0e94]:8742,0.00%,188 ms
[2606:4700:d0::01e3:1490:9028:3933]:928,0.00%,188 ms
[2606:4700:d1::a4a9:57d8:deab:7905]:928,0.00%,188 ms
[2606:4700:d1::89e7:07aa:6064:9086]:928,0.00%,188 ms
[2606:4700:d1::fdf5:064d:7595:d2a7]:8742,0.00%,189 ms
[2606:4700:d0::7c43:e959:f8bc:0b4b]:8742,0.00%,189 ms
[2606:4700:d1::729b:4e47:ebe6:a8d7]:8742,0.00%,189 ms
[2606:4700:d1::07fb:d7b4:a826:1a0a]:928,0.00%,189 ms
[2606:4700:d1::f175:f55b:b338:81f9]:928,0.00%,189 ms
[2606:4700:d1::1c94:fd83:bc25:b6d2]:8742,0.00%,189 ms
[2606:4700:d1::1dca:25d2:ade9:0737]:928,0.00%,189 ms
[2606:4700:d1::07fb:d7b4:a826:1a0a]:8742,0.00%,189 ms
[2606:4700:d1::1738:a18b:c1cc:6697]:928,0.00%,189 ms
[2606:4700:d1::005c:513c:6789:0ac6]:928,0.00%,189 ms
[2606:4700:d1::119a:88ed:5fdd:3518]:928,0.00%,189 ms
[2606:4700:d1::89e7:07aa:6064:9086]:8742,0.00%,189 ms
[2606:4700:d0::fb29:db19:5682:2b3f]:8742,0.00%,189 ms
[2606:4700:d1::0654:5871:ea0e:57c1]:928,0.00%,189 ms
[2606:4700:d1::06e9:26df:4856:6b4e]:928,0.00%,189 ms
[2606:4700:d1::0654:5871:ea0e:57c1]:8742,0.00%,189 ms
[2606:4700:d1::f1a0:0854:3425:bb8b]:928,0.00%,189 ms
[2606:4700:d1::1d7c:21eb:74fc:8c36]:8742,0.00%,189 ms
[2606:4700:d1::2120:2d83:014c:0084]:8742,0.00%,189 ms
[2606:4700:d1::fe0b:27f0:2858:02ab]:8742,0.00%,190 ms
[2606:4700:d1::f765:e3a6:bca0:9d76]:928,0.00%,190 ms
[2606:4700:d1::325c:5db1:8714:99cc]:928,0.00%,190 ms
[2606:4700:d1::15e9:5705:992c:da14]:928,0.00%,190 ms
[2606:4700:d1::19e6:815f:18df:d7de]:928,0.00%,190 ms
[2606:4700:d1::1738:a18b:c1cc:6697]:8742,0.00%,190 ms
[2606:4700:d1::005c:513c:6789:0ac6]:8742,0.00%,190 ms
[2606:4700:d1::3f28:772c:c3d1:b9ca]:928,0.00%,190 ms
